Tijd;ID;Veld;Oud;Nieuw;Status
11:16:04;24800;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24801;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24802;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24804;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24806;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24807;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24809;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24810;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24811;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24813;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24815;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24818;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;25076;Onderhoudsproject;N351-HRB-05.1-05.3;N351-HRB-02.0-05.2;Succes
11:16:04;24820;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24821;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24823;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24822;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24826;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24829;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24830;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;160;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;508;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;534;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;551;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;722;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;724;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;954;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;1112;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;1181;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;1274;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;1386;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;1634;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
