nummer,naam,"ligging type 1","ligging nummer 1","ligging omschrijving 1","ligging hectometrering 1","ligging type 2","ligging nummer 2","ligging omschrijving 2","ligging hectometrering 2","ligging type 3","ligging nummer 3","ligging omschrijving 3","ligging hectometrering 3",thema,subthema,"eigenaar organisatie","eigenaar contactpersoon","eigenaar telefoon 1","eigenaar telefoon 2","in gedeeld beheer met organisatie","in gedeeld beheer met contactpersoon","in gedeeld beheer met telefoon 1","in gedeeld beheer met telefoon 2","beheerder organisatie","beheerder contactpersoon","beheerder telefoon 1","beheerder telefoon 2","beheerder email","geinspecteerd door",plaats,gebied,"dichtstbijzijnde hoogte markering",topcode,"gps coordinaten","rds coordinaten",opmerking,conditiescore,"laatste inspectiejaar","komende inspectiejaar","benodigd materieel","toelichting opmerkingveld","bgt nummer","bgt classificatie","imgeo classificatie","nen2767 beheerobject","Object Conditie","crow nummer","crow naam","crow info",verhardingssoort,"verhardings functie",verkeersfunctie,"wegcategorie lvvp","totale breedte","totale lengte","aantal rijbanen",peiljaar,"dichtstbijzijnde hoogtemerk",status,"volgende groot onderhoud in",id,breedte2,Wegvak,Wegnummer,Bebouwde_kom,Metrering,"Jaar conservering","Jaar deklaag","Jaar herstrating",Situering,Constructie,"Jaar aanleg",Onderhoudsproject,Wegvaknum,Lengte_Oppervlakte,objectBeginTijd,objectEindTijd,lokaalID,tijdstipRegistratie,eindRegistratie,LV-publicatiedatum,bronhouder,inOnderzoek,relatieveHoogteligging,bgt-status,plus-status,bgt-functie,bgt-fysiekVoorkomen,plus-functie,wegdeelOpTalud,ondersteunendWegdeelOpTalud,onbegroeidTerreindeelOpTalud,plus-fysiekVoorkomen,begroeidTerreindeelOpTalud,bgt-type,plus-type,identificatieBAG,nummeraanduidingreeks,typeOverbruggingsdeel,hoortBijTypeOverbrugging,overbruggingIsBeweegbaar,identificatieBAG_OPR,openbareRuimteNaam,openbareRuimteType,nauwkeurigheid,datumInwinning,inwinnendeInstantie,inwinningsmethode,bgt-classification,hectometeraanduiding,wijk,buurtcode,naamEnIdOpenbareRuimte,stadsdeel,wijkcode,creationDate,terminationDate,namespace,Objecttypegroep_IMBOR,Objecttype_IMBOR,Type_IMBOR,Typeplus_IMBOR,Typeplus2_IMBOR,Wegfunctiegroep_IMBOR,Wegfunctie_IMBOR,"Soort conservering","Type onderdeel",Gebruikersfunctie,Ondergrond2,Belang,Besteknummer,"Administratieve breedte","Soort verharding_N","Soort deklaag specifiek",Risicogetal,Actie,"Inspectie Rafeling","Inspectie Scheurvorming","Berekende lengte/oppervlakte"
VV-N351-35496,"inrit en doorsteek",,,,,,,,,,,,,Verhardingen,"inrit en doorsteek",,,,,,,,,,,,,,,,,,,"POLYGON((6.112750783385 52.923453083756,6.112706305794 52.923452958608,6.112687867939 52.923466406863,6.112644047424 52.923444997255,6.112665461091 52.92342897871,6.112652807999 52.923404908396,6.112750783385 52.923453083756))","POLYGON((203794.197 548731.169,203791.206 548731.125,203789.951 548732.609,203787.028 548730.197,203788.486 548728.429,203787.662 548725.742,203794.197 548731.169))",,,,,,,P0021.97fa4ff6ca354703a4cd0554c95232d3,,,,,,,,,,,,,,,,,,,84b61fcb7a85b7e7157a238c89798a37,,142,N351,"buiten bebouwde kom","14,2",,,,links,,,N351-HRB-12.5-14.9,142,18.57,,,,20180712134046,,,P0021,,0,bestaand,,inrit,"open verharding",,0,,,"gebakken klinkers",,,,,,,,,,,,,,,,wegdeel,,,,,,,2016-04-08,,NL.IMGEO,Verhardingsobject,Verhardingsobject,Elementenverharding,Straatbaksteen,"Gebakken steen",Wegen,Inrit,,"inrit en doorsteek","niet van toepassing",,hoog,,,elementenverharding,"straatbaksteen dikformaat",,,A+,A+,18.57
VV-N351-37251,"verkeerseiland of middengeleider-84",,,,,,,,,,,,,Verhardingen,"verkeerseiland of middengeleider",,,,,,,,,,,,,,,,,,,"POLYGON((6.181570226073 52.954853908568,6.181474423397 52.954817915954,6.181480774124 52.954811205631,6.181570226073 52.954853908568))","POLYGON((208383.854 552274.055,208377.46 552269.979,208377.895 552269.237,208383.854 552274.055))",,,,,,,P0021.a6cf0f0853e3452f8a7ec43976d1bf2e,,,,,,,,,,,,,,,,,,,869194919219eb4ae9cb9d89c3504ac6,,84,N351,"buiten bebouwde kom","8,4",,,2020,links,,1962,N351-HRB-08.4-12.1,84,3.26,,,,20200910120600,,,P0021,,0,bestaand,,"rijbaan regionale weg","open verharding",,0,,,betonstraatstenen,,,,,,,,,,,,,,,,wegdeel,,,,,,,2017-03-01,,NL.IMGEO,Verhardingsobject,Verhardingsobject,Elementenverharding,Betonstraatstenen,,Wegen,Rijbaan,,"verkeerseiland of middengeleider","niet van toepassing",,hoog,19-43-WN,,elementenverharding,"straatbaksteen dikformaat",,,A+,A+,3.26
VV-N351-34562,pechhaven,,,,,,,,,,,,,Verhardingen,pechhaven,,,,,,,,,,,,,,,,,,,"POLYGON((5.96066116016 52.860250382881,5.96063578693 52.860244888178,5.960555485331 52.860227669256,5.960478715986 52.860209193137,5.960444038814 52.860199609225,5.960410683397 52.860188913584,5.960376349376 52.860177189166,5.960304207396 52.860151510313,5.960191574272 52.860111063071,5.960171554496 52.86010278363,5.960145971077 52.860091439483,5.960109078678 52.860072564867,5.960075318689 52.860053648234,5.960038311469 52.860032806058,5.960022667396 52.860025314381,5.96066116016 52.860250382881))","POLYGON((193621.905 541606.137,193620.201 541605.512,193614.808 541603.553,193609.654 541601.456,193607.327 541600.371,193605.09 541599.163,193602.788 541597.84,193597.952 541594.944,193590.402 541590.383,193589.061 541589.451,193587.348 541588.175,193584.88 541586.055,193582.623 541583.932,193580.149 541581.593,193579.102 541580.751,193621.905 541606.137))",,,,,,,P0021.904bbcc41c8b474091f235d0094894e1,,,,,,,,,,,,,,,,,,,86ab4d7994b2e40c55f532e5e174c1d6,,280,N351,"buiten bebouwde kom",28,,1993,,rechts,,,N351-HRB-26.3-30.7,280,92.5,,,,20240226123006,,,P0021,,0,bestaand,,"rijbaan regionale weg","gesloten verharding",,0,,,asfalt,,,,,,,,,,,,,,,,wegdeel,,,,,,,2017-05-18,,NL.IMGEO,Verhardingsobject,Verhardingsobject,Asfaltverharding,,,Wegen,Rijbaan,,pechhaven,gebiedsontsluitingsweg,veen,hoog,,,"AC surf",dichtasfaltbeton,,,A+,A+,92.5
VV-N351-37152,"inrit en doorsteek - links",,,,,,,,,,,,,Verhardingen,"inrit en doorsteek",,,,,,,,,,,,,,,,,,,"POLYGON((6.152765236572 52.942336016799,6.152770033544 52.942351649803,6.152776513606 52.942373329029,6.152717657755 52.942346773243,6.152666757946 52.942324291318,6.152660504898 52.942321464647,6.152713934902 52.942311830004,6.15274266331 52.94229078783,6.152751886069 52.942293298902,6.152795427532 52.9423127006,6.152765236572 52.942336016799))","POLYGON((206462.89 550860.183,206463.194 550861.926,206463.604 550864.343,206459.679 550861.346,206456.284 550858.808,206455.867 550858.489,206459.47 550857.455,206461.426 550855.134,206462.043 550855.42,206464.947 550857.61,206462.89 550860.183))",,,,,,,P0021.a6057ddb8b9a4a1f97c7905b34728c13,,,,,,,,,,,,,,,,,,,89edbe4024c7be8dac444534bb7c1038,,108,N351,"buiten bebouwde kom","10,8",,,,links,,,N351-PWL-08.5-12.4,108,34.58,,,,20230227200244,,,P0021,,0,bestaand,,inrit,"open verharding",,0,,,betonstraatstenen,,,,,,,,,,,,,,,,wegdeel,,,,,,,2016-04-12,,NL.IMGEO,Verhardingsobject,Verhardingsobject,Elementenverharding,Betonstraatstenen,,Wegen,Inrit,,"inrit en doorsteek","niet van toepassing",,,19-43-WB,,elementenverharding,"betonstraatsteen keiformaat",,,A+,A+,34.58
VV-N351-35202,molgoot,,,,,,,,,,,,,Verhardingen,molgoot,,,,,,,,,,,,,,,,,,,"POLYGON((6.187139863173 52.9573246415,6.187603415921 52.957535814558,6.187602228164 52.957536775101,6.187209357374 52.957357750305,6.186324408617 52.956955723778,6.186326121454 52.956954993388,6.186984888796 52.957254172261,6.187139863173 52.9573246415))","POLYGON((208755.094 552553.124,208785.983 552576.968,208785.902 552577.074,208759.723 552556.86,208700.752 552511.465,208700.868 552511.385,208744.767 552545.167,208755.094 552553.124))",,,,,,,P0021.958f5e529f4948a99fd42a9c3ecc819a,,,,,,,,,,,,,,1x2,,,,,8a92cdc90b5b23930162bc6409c1f304,,79,N351,"buiten bebouwde kom","7,9",,,2005,rechts,,1964,N351-HRB-07.6-08.4,79,14.62,,,,20191015123901,,,P0021,,0,bestaand,,"rijbaan regionale weg","open verharding",,0,,,tegels,,,,,,,,,,,,,,,,wegdeel,,,,,,,2017-04-05,,NL.IMGEO,Verhardingsobject,Verhardingsobject,Elementenverharding,Tegels,,Wegen,Rijbaan,,molgoot,stroomweg,,hoog,,0.3,elementenverharding,betontegels,,,A+,A+,14.62
VV-N351-35506,voetpad,,,,,,,,,,,,,Verhardingen,voetpad,,,,,,,,,,,,,,,,,,,"POLYGON((5.971922002828 52.864361033619,5.971906627201 52.864355007014,5.971908943317 52.86435275797,5.971941545294 52.864321135677,5.971943832071 52.864318913736,5.971958968189 52.864324797722,5.971956798878 52.864326920234,5.971922002828 52.864361033619))","POLYGON((194376.604 542069.635,194375.574 542068.956,194375.732 542068.707,194377.956 542065.206,194378.112 542064.96,194379.126 542065.623,194378.978 542065.858,194376.604 542069.635))",,,,,,,P0021.9815bec9c5674b52b4496bfb1025e57c,,,,,,,,,,,,,,,,,,,8f66ada00533bc2a58d88d4036f8b9b8,,271,N351,"buiten bebouwde kom","27,1",,,,links,,,N351-HRB-26.3-30.7,271,5.79,,,,20240226123006,,,P0021,,0,bestaand,,voetpad,"open verharding",,0,,,betonstraatstenen,,,,,,,,,,,,,,,,wegdeel,,,,,,,2017-05-18,,NL.IMGEO,Verhardingsobject,Verhardingsobject,Elementenverharding,Betonstraatstenen,,Voetpad,,,voetpad,voetpad,,,,,elementenverharding,"betonstraatsteen keiformaat",,,A+,A+,5.79
VV-N351-37269,rotonderand,,,,,,,,,,,,,Verhardingen,rotonderand,,,,,,,,,,,,,,,,,,,"MULTIPOLYGON(((6.291982802196 52.976860949836,6.291972202272 52.976853094819,6.291963373171 52.976844480496,6.291956466738 52.976835249508,6.291951605421 52.976825562687,6.291948866635 52.976815563236,6.291948299146 52.976805448492,6.291949905937 52.976795362222,6.29195237202 52.9767879385,6.291956331923 52.976780755097,6.291961743228 52.976773920174,6.291968503788 52.976767533359,6.291976511641 52.976761703263,6.291986015316 52.976755493386,6.291996287692 52.976749736011,6.292007240014 52.97674445877,6.292018828559 52.976739706927,6.292030979084 52.976735490031,6.29204584263 52.976732151264,6.292061296113 52.976729976301,6.292077087221 52.976729002999,6.292092948381 52.976729251357,6.292108626347 52.976730714307,6.292123882387 52.976733366696,6.292134927766 52.976736149821,6.292145480285 52.976739574734,6.292155434994 52.976743606282,6.292164686572 52.976748191343,6.292173145143 52.976753303639,6.292259074954 52.976808918722,6.292358628942 52.976873183614,6.292361682231 52.976875389194,6.292364661838 52.976877631278,6.292367582274 52.976879891783,6.292370443914 52.976882188681,6.292373231685 52.976884513099,6.292379172078 52.976890956513,6.292384150861 52.976897694784,6.29238810737 52.976904674454,6.29239102541 52.976911832736,6.292392874276 52.97691912493,6.292393404569 52.976928161548,6.292391998563 52.976937158911,6.292388653268 52.976945973255,6.29238346971 52.976954451041,6.292376489556 52.976962448165,6.29236785905 52.976969837705,6.292357724252 52.976976483754,6.29235375509 52.976978922255,6.292349680418 52.976981298649,6.292345485163 52.976983604062,6.292341199098 52.976985838269,6.292336822222 52.97698800127,6.292323302817 52.976993693398,6.292308643424 52.976998261833,6.29229312501 52.977001614579,6.292277014403 52.977003695694,6.292260578993 52.977004476194,6.292244116128 52.977003935852,6.292227923717 52.9770020814,6.292212270643 52.976998955735,6.292197440675 52.976994601641,6.292183703629 52.976989106944,6.292180106656 52.976987246972,6.292173089287 52.976983426838,6.292166277336 52.97697946136,6.291982802196 52.976860949836),(6.291984540629 52.976860064964,6.292167879929 52.976978487646,6.292174602003 52.976982426844,6.292181544382 52.976986220586,6.292185096324 52.976988062926,6.292198592952 52.976993451603,6.292213153104 52.976997717872,6.292228522036 52.977000782782,6.292244415793 52.977002594562,6.29226058075 52.977003128173,6.292276718626 52.977002358914,6.292292532072 52.977000307009,6.292307768959 52.976997019303,6.292322147386 52.976992542863,6.292335430669 52.976986951377,6.292339778146 52.976984806572,6.292344019927 52.976982590674,6.292348170897 52.97698030357,6.292352201472 52.97697795447,6.292356141235 52.976975534165,6.292366100017 52.976969015263,6.292374569578 52.976961761743,6.292381404048 52.976953918497,6.292386516539 52.97694560301,6.292389790954 52.976936959951,6.292391170551 52.976928124549,6.29239065888 52.976919267524,6.292388842401 52.976912100899,6.292385971634 52.976905068072,6.292382092171 52.976898213633,6.292377205132 52.976891591494,6.292371371183 52.976885255114,6.292368613744 52.976882957427,6.292365782623 52.976880696245,6.292362892332 52.976878453484,6.292359943058 52.976876238131,6.292356905589 52.976874077365,6.292257215761 52.976809723633,6.292171557632 52.976754286225,6.292163234714 52.976749253783,6.292154133489 52.976744739477,6.292144358905 52.976740778458,6.292133986138 52.976737406104,6.292123120323 52.976734666553,6.29210814805 52.976732056949,6.292092753475 52.976730618813,6.29207719022 52.976730377186,6.292061696457 52.976731330263,6.292046525059 52.976733467144,6.292031928339 52.976736749971,6.292019955138 52.976740902618,6.292008543917 52.976745590211,6.291997738773 52.976750785458,6.291987628461 52.976756460725,6.291978256893 52.976762579735,6.291970395659 52.97676830088,6.291963766459 52.976774560887,6.291958456741 52.976781269227,6.291954568468 52.976788317287,6.291952144243 52.976795605891,6.291950578376 52.976805512118,6.291951142505 52.976815465125,6.291953847785 52.976825285096,6.291958631499 52.97683481973,6.29196543037 52.976843889772,6.291974107438 52.976852352471,6.291984540629 52.976860064964)))","MULTIPOLYGON(((215772.997 554810.263,215772.296 554809.38,215771.715 554808.414,215771.264 554807.381,215770.951 554806.299,215770.781 554805.184,215770.757 554804.058,215770.879 554802.937,215771.055 554802.113,215771.331 554801.317,215771.704 554800.561,215772.167 554799.856,215772.713 554799.214,215773.36 554798.531,215774.058 554797.899,215774.801 554797.321,215775.586 554796.802,215776.408 554796.343,215777.411 554795.984,215778.452 554795.755,215779.514 554795.66,215780.579 554795.701,215781.63 554795.877,215782.651 554796.185,215783.389 554796.504,215784.093 554796.894,215784.756 554797.351,215785.371 554797.869,215785.932 554798.445,215791.626 554804.706,215798.223 554811.941,215798.425 554812.189,215798.622 554812.441,215798.815 554812.695,215799.004 554812.953,215799.188 554813.214,215799.578 554813.936,215799.903 554814.69,215800.159 554815.47,215800.345 554816.269,215800.459 554817.082,215800.482 554818.088,215800.375 554819.088,215800.138 554820.066,215799.778 554821.005,215799.298 554821.889,215798.708 554822.704,215798.018 554823.435,215797.748 554823.703,215797.471 554823.964,215797.186 554824.217,215796.895 554824.462,215796.598 554824.699,215795.682 554825.321,215794.691 554825.817,215793.644 554826.177,215792.559 554826.395,215791.454 554826.468,215790.349 554826.394,215789.264 554826.174,215788.217 554825.813,215787.227 554825.316,215786.312 554824.693,215786.073 554824.483,215785.607 554824.052,215785.155 554823.605,215772.997 554810.263),(215773.115 554810.166,215785.264 554823.498,215785.71 554823.942,215786.171 554824.37,215786.407 554824.578,215787.306 554825.189,215788.278 554825.676,215789.306 554826.03,215790.371 554826.245,215791.456 554826.318,215792.541 554826.246,215793.606 554826.031,215794.634 554825.678,215795.606 554825.192,215796.506 554824.581,215796.801 554824.346,215797.089 554824.103,215797.371 554823.852,215797.645 554823.594,215797.913 554823.328,215798.591 554822.611,215799.17 554821.811,215799.64 554820.944,215799.995 554820.023,215800.227 554819.064,215800.332 554818.082,215800.31 554817.096,215800.198 554816.297,215800.015 554815.512,215799.764 554814.746,215799.445 554814.005,215799.062 554813.295,215798.88 554813.037,215798.693 554812.783,215798.502 554812.531,215798.307 554812.282,215798.106 554812.039,215791.5 554804.794,215785.824 554798.553,215785.272 554797.986,215784.667 554797.476,215784.016 554797.027,215783.324 554796.643,215782.598 554796.329,215781.596 554796.026,215780.564 554795.853,215779.519 554795.813,215778.477 554795.906,215777.455 554796.131,215776.47 554796.484,215775.66 554796.936,215774.887 554797.448,215774.154 554798.017,215773.467 554798.64,215772.829 554799.313,215772.293 554799.943,215771.839 554800.634,215771.473 554801.376,215771.202 554802.157,215771.029 554802.966,215770.91 554804.067,215770.934 554805.175,215771.102 554806.27,215771.41 554807.335,215771.854 554808.35,215772.425 554809.299,215773.115 554810.166)))",,,,,,,P0021.773bdf3c3cfa402e802b60f9bf9ae033,,,,,,,,,,,,,,,,,,,902ba0109091dac00ce0c31ac21b157d,,1,N351,"buiten bebouwde kom","0,1",,,,midden,,,,1,13.72,,,,20190726105746,,,P0021,,0,bestaand,,verkeerseiland,"open verharding",,,0,,"beton element",,,,,,,,,,,,,,,,ondersteunendwegdeel,,,,,,,2019-07-25,,NL.IMGEO,Verhardingsobject,Verhardingsobject,Elementenverharding,Betonelement,,Wegondersteuning,,,rotonderand,"niet van toepassing",,,,,elementenverharding,betonelementen,,,,,13.72
VV-N351-36909,"inrit en doorsteek",,,,,,,,,,,,,Verhardingen,"inrit en doorsteek",,,,,,,,,,,,,,,,,,,"POLYGON((5.86755150905 52.822072788106,5.867523866336 52.822088536445,5.867476653265 52.822066187936,5.867480900205 52.822043596115,5.86755150905 52.822072788106))","POLYGON((187379.325 537312.133,187377.45 537313.873,187374.284 537311.365,187374.587 537308.853,187379.325 537312.133))",,,,,,,P0021.a416ca6b6035458c80437652571427da,,,,,,,,,,,,,,,,,,,91f7c094f20424c8f5d6a2b72520d3e3,,357,N351,"buiten bebouwde kom","35,7",,,,rechts,,,N351-PWR-35.0-37.9,357,11.55,,,,20180111133449,,,P0021,,0,bestaand,,inrit,"open verharding",,0,,,"gebakken klinkers",,,,,,,,,,,,,,,,wegdeel,,,,,,,2017-06-20,,NL.IMGEO,Verhardingsobject,Verhardingsobject,Elementenverharding,Straatbaksteen,"Gebakken steen",Wegen,Inrit,,"inrit en doorsteek","niet van toepassing",,,,,elementenverharding,"straatbaksteen dikformaat",,,A+,A+,11.55
VV-N351-37261,"verkeerseiland of middengeleider",,,,,,,,,,,,,Verhardingen,"verkeerseiland of middengeleider",,,,,,,,,,,,,,,,,,,"MULTIPOLYGON(((6.217993477166 52.972446300493,6.217995453421 52.97243284273,6.217996791004 52.9724194613,6.217976007328 52.972418581316,6.217967510602 52.972419548037,6.217962574058 52.972420633794,6.217962247966 52.972420707954,6.217958336779 52.972422478555,6.217955698161 52.972424626734,6.217953693441 52.972427228825,6.217952541263 52.972430040668,6.217952536063 52.972432889471,6.217952585002 52.972433113797,6.217954768251 52.972437529036,6.217955529284 52.972438404437,6.21795682328 52.972439905198,6.217959930666 52.97244204039,6.217964217858 52.972443592235,6.217971796109 52.97244520208,6.217982304903 52.972445919846,6.217993477166 52.972446300493),(6.217972280561 52.972443284557,6.217966870533 52.972442180864,6.217963036568 52.972440976347,6.217960010461 52.972439200055,6.217956670663 52.97243502651,6.217955792895 52.972432714057,6.217955791267 52.972430287674,6.217956773057 52.972427908374,6.217958472912 52.972425712801,6.217960715643 52.972423881907,6.217964036585 52.972422385009,6.217968631981 52.972421364531,6.217976252397 52.972420502754,6.217993445094 52.972421209998,6.217990595448 52.972444289545,6.217982566256 52.97244401286,6.217972280561 52.972443284557)))","MULTIPOLYGON(((210809.006 554259.233,210809.156 554257.737,210809.263 554256.249,210807.868 554256.135,210807.296 554256.236,210806.963 554256.353,210806.941 554256.361,210806.676 554256.555,210806.496 554256.792,210806.358 554257.08,210806.277 554257.392,210806.273 554257.709,210806.276 554257.734,210806.417 554258.227,210806.467 554258.325,210806.552 554258.493,210806.758 554258.733,210807.044 554258.909,210807.551 554259.094,210808.256 554259.182,210809.006 554259.233),(210807.586 554258.881,210807.224 554258.754,210806.968 554258.617,210806.767 554258.417,210806.548 554257.95,210806.492 554257.692,210806.495 554257.422,210806.564 554257.158,210806.681 554256.915,210806.834 554256.713,210807.059 554256.549,210807.369 554256.439,210807.882 554256.349,210809.036 554256.441,210808.815 554259.007,210808.276 554258.97,210807.586 554258.881)))",,,,,,,P0021.4500c467796a4007820b414cec4e04de,,,,,,,,,,,,,,,,,,,9e69b26d0c557991196addc0ad6cb4bd,,53,N351,"buiten bebouwde kom","5,3",,2004,,midden,,,,53,2.1,,,,20210927094254,,,P0021,,0,bestaand,,verkeerseiland,"gesloten verharding",,,0,,cementbeton,,,,,,,,,,,,,,,,ondersteunendwegdeel,,,,,,,2019-07-25,,NL.IMGEO,Verhardingsobject,Verhardingsobject,Betonverharding,,,Wegondersteuning,,,"verkeerseiland of middengeleider","niet van toepassing",,,,,elementenverharding,betonelementen,,,,,2.1
VV-N351-3570,"inrit en doorsteek-",,,,,,,,,,,,,Verhardingen,"inrit en doorsteek",,,,,,,,,,,,,,,,,,,"POLYGON((6.138022748683 52.935364831458,6.137987267753 52.935350621936,6.138017109774 52.935322413899,6.138051740805 52.935336502943,6.138022748683 52.935364831458))","POLYGON((205479.955 550074.044,205477.586 550072.438,205479.625 550069.32,205481.937 550070.912,205479.955 550074.044))",,,,,,,P0021.1756537196e74d89b066cfd8aeae1018,,,,,,,,,,,,,,,,,,,9f00cf52ef82cb6ac95652bdb09e567c,,121,N351,"buiten bebouwde kom","12,1",,,,rechts,,,N351-HRB-12.1-12.4,121,10.53,,,,20180221133127,,,P0021,,0,bestaand,,inrit,"open verharding",,0,,,betonstraatstenen,,,,,,,,,,,,,,,,wegdeel,,,,,,,2016-04-12,,NL.IMGEO,Verhardingsobject,Verhardingsobject,Elementenverharding,Betonstraatstenen,,Wegen,Inrit,,"inrit en doorsteek","niet van toepassing",,hoog,,,elementenverharding,betonstraatsteen,,,A+,A+,10.53
VV-N351-35383,"inrit en doorsteek - links",,,,,,,,,,,,,Verhardingen,"inrit en doorsteek",,,,,,,,,,,,,,,,,,,"POLYGON((6.143170326194 52.938302289356,6.143166063642 52.938318105905,6.143153835193 52.938312027443,6.143126535402 52.938298908963,6.143103738582 52.93828812547,6.143123019468 52.938280580451,6.143157849945 52.93825361568,6.143205825108 52.93827612914,6.143170326194 52.938302289356))","POLYGON((205822.612 550404.525,205822.307 550406.282,205821.492 550405.597,205819.672 550404.118,205818.152 550402.902,205819.457 550402.076,205821.83 550399.1,205825.029 550401.639,205822.612 550404.525))",,,,,,,P0021.96fe7062c21443e9ac4538e8017af1e1,,,,,,,,,,,,,,,,,,,9fbfeadff3238360bc3721fc9c599f9d,,116,N351,"buiten bebouwde kom","11,6",,,,links,,,N351-PWL-08.5-12.4,116,22.29,,,,20230227200244,,,P0021,,0,bestaand,,inrit,"open verharding",,0,,,"gebakken klinkers",,,,,,,,,,,,,,,,wegdeel,,,,,,,2016-04-12,,NL.IMGEO,Verhardingsobject,Verhardingsobject,Elementenverharding,Straatbaksteen,"Gebakken steen",Wegen,Inrit,,"inrit en doorsteek","niet van toepassing",,,19-43-WB,,elementenverharding,"straatbaksteen dikformaat",,,A+,A+,22.29
VV-N351-36331,"inrit en doorsteek",,,,,,,,,,,,,Verhardingen,"inrit en doorsteek",,,,,,,,,,,,,,,,,,,"POLYGON((5.911989002029 52.843773802846,5.911978614576 52.843787589259,5.911908632502 52.843767802932,5.911910109331 52.843767185337,5.911922728305 52.843750117942,5.911921715101 52.843747318544,5.911925358628 52.843741730743,5.911926162984 52.843720949904,5.912031320352 52.843750529699,5.911998201112 52.843761171962,5.911989002029 52.843773802846))","POLYGON((190357.215 539747.761,190356.504 539749.29,190351.805 539747.054,190351.905 539746.986,190352.769 539745.093,190352.703 539744.781,190352.953 539744.161,190353.024 539741.849,190360.085 539745.192,190357.845 539746.36,190357.215 539747.761))",,,,,,,P0021.9f18eb73ca1b4ff8849babd3c5f4f4b2,,,,,,,,,,,,,,,,,,,a0053f62678667c6eb6c12f6d966e903,,317,N351,"buiten bebouwde kom","31,7",,,,rechts,,,N351-PWR-30.7-35.0,317,30.06,,,,20240223171922,,,P0021,,0,bestaand,,inrit,"open verharding",,0,,,"gebakken klinkers",,,,,,,,,,,,,,,,wegdeel,,,,,,,2016-06-30,,NL.IMGEO,Verhardingsobject,Verhardingsobject,Elementenverharding,Straatbaksteen,"Gebakken steen",Wegen,Inrit,,"inrit en doorsteek","niet van toepassing",,,,,elementenverharding,"straatbaksteen dikformaat",,,A+,A+,30.06
VV-N351-34987,"inrit en doorsteek",,,,,,,,,,,,,Verhardingen,"inrit en doorsteek",,,,,,,,,,,,,,,,,,,"POLYGON((6.089836774024 52.913212708301,6.089835370155 52.913214154432,6.089831787318 52.913217842085,6.089831775492 52.913218030875,6.089831219272 52.913239799888,6.089757860456 52.913213415378,6.089787086565 52.913202279628,6.089787948829 52.913201357912,6.089790812989 52.913198276597,6.089792230565 52.913196758492,6.089836774024 52.913212708301))","POLYGON((202264.312 547576.412,202264.216 547576.572,202263.971 547576.98,202263.97 547577.001,202263.909 547579.423,202259.003 547576.439,202260.981 547575.219,202261.04 547575.117,202261.236 547574.776,202261.333 547574.608,202264.312 547576.412))",,,,,,,P0021.93da35e8325640abb3275a02fc958caa,,,,,,,,,,,,,,,,,,,a629f893c250b4fc873bb966eadfb793,,162,N351,"buiten bebouwde kom","16,2",,,,links,,,N351-PWL-13.3-19.8,162,12.03,,,,20180712134046,,,P0021,,0,bestaand,,inrit,"open verharding",,0,,,betonstraatstenen,,,,,,,,,,,,,,,,wegdeel,,,,,,,2016-06-27,,NL.IMGEO,Verhardingsobject,Verhardingsobject,Elementenverharding,Betonstraatstenen,,Wegen,Inrit,,"inrit en doorsteek","niet van toepassing",,,,,elementenverharding,"betonstraatsteen keiformaat",,,A+,A+,12.03
VV-N351-34323,"inrit en doorsteek",,,,,,,,,,,,,Verhardingen,"inrit en doorsteek",,,,,,,,,,,,,,,,,,,"POLYGON((5.971003999402 52.864191493601,5.970999616827 52.864191344303,5.970986609584 52.864191407965,5.970978502329 52.864191447644,5.970962555737 52.864196019044,5.970943187235 52.864205657719,5.970943011455 52.864205838314,5.970903210954 52.864191088188,5.970904753393 52.864187611769,5.970908710134 52.864157001645,5.970994938959 52.864187988195,5.971003999402 52.864191493601))","POLYGON((194314.936 542050.27,194314.641 542050.251,194313.765 542050.251,194313.219 542050.251,194312.141 542050.751,194310.828 542051.813,194310.816 542051.833,194308.149 542050.17,194308.256 542049.784,194308.55 542046.38,194314.329 542049.875,194314.936 542050.27))",,,,,,,P0021.8e404f9b38824aa5871a747ba10df98a,,,,,,,,,,,,,,,,,,,a882ad2557b0f1d1b716dc469d86a455,,271,N351,"buiten bebouwde kom","27,1",,,,rechts,,,N351-PWR-26.3-30.7,271,16.69,,,,20180111133449,,,P0021,,0,bestaand,,inrit,"open verharding",,0,,,"gebakken klinkers",,,,,,,,,,,,,,,,wegdeel,,,,,,,2017-05-18,,NL.IMGEO,Verhardingsobject,Verhardingsobject,Elementenverharding,Straatbaksteen,"Gebakken steen",Wegen,Inrit,,"inrit en doorsteek","niet van toepassing",,,,,elementenverharding,"straatbaksteen dikformaat",,,A+,A+,16.69
